"drug_name","gene_names","drug_name_lower","alias_asgard"
"Etoposide","TOP2A;TOP2B;CYP1A2;CYP2E1;CYP3A5;UGT1A1;GSTT1;GSTP1;PTGS2;PTGS1;CYP3A4;ABCC3;ABCC6;ABCB1;ABCC1;ABCC10;ABCC2;ABCG2","etoposide","etoposide"
"Estradiol","ESR1;ESR2;NR1I2;CHRNA4;GPER1;MT-ATP6;BECN1;CYP3A4;CYP1A2;CYP3A5;CYP3A7;UGT1A1;CYP1A1;CYP1B1;CYP2C19;CYP2C8;CYP2C9;UGT2B15;COMT;UGT1A10;UGT1A3;UGT1A4;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2B4;UGT2B7;CYP19A1;SHBG;ALB;FABP2;SLC22A2;SLC22A3;ABCC10;SLC22A11;ABCG2;SLCO1B1;ABCB1;SLC22A8;SLCO1B3;SLCO1C1","estradiol","estradiol"
"Tripelennamine","HRH1;CYP2D6;ALB","tripelennamine","tripelennamine"
"Fenoldopam","DRD5;DRD1;ADRA1B;ADRA1D;ADRA1A;ADRA2B;ADRA2C;ADRA2A","fenoldopam","fenoldopam"
"Pentoxifylline","ADORA2A;ADORA1;NT5E;CYP1A2","pentoxifylline","pentoxifylline"
"Phenylbutazone","PTGS1;PTGS2;PTGIS;CYP3A4;CYP2C9;SLC22A6;SLC22A8;SLC22A11","phenylbutazone","phenylbutazone"
"Meloxicam","PTGS2;PTGS1;PGD;CYP2C8;CYP2C9;CYP3A4;ALB;ABCC4","meloxicam","meloxicam"
"Trifluoperazine","DRD2;CALY;ADRA1A;CALM1;TNNC1;S100A4;XDH;UGT1A4;CYP1A2;ABCB1","trifluoperazine","trifluoperazine"
"Mifepristone","PGR;NR3C1;KLK3;NR1I2;CYP2D6;CYP2C8;CYP2C9;CYP3A4;CYP3A5;ABCB1;ABCC1;ABCB11;SLCO1B1;SLCO1B3","mifepristone","mifepristone"
"Loperamide","OPRM1;OPRD1;OPRK1;CALM1;POMC;CACNA1A;KCNH2;CYP3A4;CYP2C8;CYP2B6;CYP2D6;ABCB1","loperamide","loperamide"
"Tolazamide","ABCC8;KCNJ11;CYP2C9","tolazamide","tolazamide"
"Perphenazine","DRD2;DRD1;CALM1;CYP1A2;CYP2C18;CYP2C19;CYP2C8;CYP2C9;CYP3A4;CYP2D6;ALB","perphenazine","perphenazine"
"Temozolomide","ALB;ORM1;ABCB1;ABCG2","temozolomide","temozolomide"
"Prednisolone","NR3C1;CYP3A4;SERPINA6;ALB;SLCO1A2;ABCB1","prednisolone","prednisolone"
"Ranitidine","HRH2;ACHE;CYP3A4;CYP1A2;CYP2D6;SLC22A1;ABCB1;SLC22A8;SLC22A2","ranitidine","ranitidine"
